anime_id,title
5114,Fullmetal Alchemist: Brotherhood
9253,Steins;Gate
41467,Bleach: Sennen Kessen-hen
28977,Gintama°
38524,Shingeki no Kyojin Season 3 Part 2
9969,Gintama'
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic
11061,Hunter x Hunter (2011)
15417,Gintama': Enchousen
42938,Fruits Basket: The Final
34096,Gintama.
918,Gintama
53998,Bleach: Sennen Kessen-hen - Ketsubetsu-tan
35180,3-gatsu no Lion 2nd Season
4181,Clannad: After Story
2904,Code Geass: Hangyaku no Lelouch R2
35247,Owarimonogatari 2nd Season
37491,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen
19,Monster
49387,Vinland Saga Season 2
47917,Bocchi the Rock!
52034,"""Oshi no Ko"""
36838,Gintama.: Shirogane no Tamashii-hen
40682,Kingdom 3rd Season
51009,Jujutsu Kaisen 2nd Season
37510,Mob Psycho 100 II
40028,Shingeki no Kyojin: The Final Season
47778,Kimetsu no Yaiba: Yuukaku-hen
32935,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou
17074,Monogatari Series: Second Season
48583,Shingeki no Kyojin: The Final Season Part 2
263,Hajime no Ippo
1,Cowboy Bebop
50160,Kingdom 4th Season
37521,Vinland Saga
24701,Mushishi Zoku Shou 2nd Season
33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen
50172,Mob Psycho 100 III
2921,Ashita no Joe 2
48569,86 Part 2
21,One Piece
1575,Code Geass: Hangyaku no Lelouch
21939,Mushishi Zoku Shou
245,Great Teacher Onizuka
45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2
46102,Odd Taxi
54898,Bungou Stray Dogs 5th Season
33352,Violet Evergarden
34599,Made in Abyss
41084,Made in Abyss: Retsujitsu no Ougonkyou
457,Mushishi
5258,Hajime no Ippo: New Challenger
11665,Natsume Yuujinchou Shi
23273,Shigatsu wa Kimi no Uso
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen
28891,Haikyuu!! Second Season
40748,Jujutsu Kaisen
2001,Tengen Toppa Gurren Lagann
1535,Death Note
35760,Shingeki no Kyojin Season 3
